[0, 0, 0, 0, 0, -3.5, 0, -5, 0, -1, -5, 0, -100, 0, 0, 0, -1, 0, -1, 0, -3.5, 0, -1, -3, 0, 1, 0, 0, 0, -1, 0, -1, 0, 0, 1, 0, -1, 3, 0, 1, 5, 1, 0, 1, 1, 0, 0, 0, 0, 3.5, 9, 3, 0, 5, 3.5, 0, 0, 0, 0, 100, 0, 0, 0, 0, 1] 11.94
[0, -3, -3.5, -9, -100, -3.5, 0, -5, -5, 0, 0, -1, -1, 0, -1, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -3, 0, 0, 3.5, 0, 0, 0, 9, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 5, 3, 3.5, 0, 100, 0, 3, 5, 0] 3.32
[-5, 0, 0, 0, 0, 0, -100, 0, 0, 3.5, -1, 0, 0, 0, 3, -5, 0, 0, 0, 0, -3.5, 0, 0, -1, -1, 0, 0, 0, 1, 0, -3, 1, 1, -1, 0, 0, 0, -1, 9, 0, 0, 0, 0, 0, 3.5, 0, 1, 0, -9, 1, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 100, 5, 0, 0] 4.91
[-5, 0, 0, -100, -3.5, -3.5, 0, 0, -1, -1, 0, 0, -1, 0, -1, -5, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -3, 0, -1, 1, -3, 3, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 9, 3.5, 0, 0, 100, 1, -9, 0, 0, 0, 0, 0, 5, 3.5, 0, 5, 0] 8.7
[0, 0, 0, 0, 0, -3.5, 0, 0, 0, -1, 0, 0, 1, 0, 0, -5, 0, 0, 0, -100, -5, 0, -3.5, 0, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 100, 0, 3, 0, -9, 0, 0, -3, 0, 0, 1, 5, 0, 0, 5, 0, 0, 0, 0, 0] 999.97
[0, 0, 0, 0, 0, 0, 0, -3.5, 0, -5, 0, -100, 0, -1, 9, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, -1, 3.5, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 3.5, 1, 0, 0, 0, 0, 100, 0, 0, 5, 0] -9.83
[-5, 0, 0, -100, 0, 0, 0, 0, 0, 0, 5, 0, 0, -5, 0, 0, 0, 0, -1, -1, 0, 0, 0, -3.5, -1, 9, 1, 0, 0, 3, 0, 0, 1, 0, 0, 100, 1, 0, -3, 0, 3, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.5, 0, 0, 0, 0, 0, 0, 1] 7.67
[-5, 0, -3.5, 0, 0, 3.5, 0, -5, 1, -1, 0, -1, -1, 0, 0, -1, 1, 0, 0, 0, 1, -3.5, 0, 0, 0, 0, 0, 0, -100, 0, 0, 0, 0, 0, 0, 3, 0, 0, -1, 0, 0, 0, 1, 1, 0, 1, -3, 0, 0, 0, 0, 3, 100, 0, 0, 1, 5, 0, 0, 9, 0, 3.5, 5, 0, 1] 24.47
[-5, 0, 0, -100, 0, -3.5, 0, 0, 0, 0, -3, -3, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 5, 0, 3, -1, 0, 0, 0, 0, 0, -1, 9, 0, 0, 3, 0, 0, -3.5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5, 0, 3.5, 100, 0, 0, 0, 0, 1] 5.93
[0, 0, 0, 0, 0, 0, -3, 0, -1, 0, 0, -9, 0, 0, 0, -5, 0, -5, 0, 0, -100, 0, -1, 0, 0, -1, 0, 0, -3, -1, 0, -1, 0, 1, 0, 0, 1, 0, 1, 1, 0, -3.5, 0, 9, 0, 5, 0, 0, 0, 0, 1, 0, 0, 100, 0, 0, 0, 3, 3.5, 0, 5, 0, 3, 3.5, 1] 10.52
